349,신토불이떡볶이 건대
350,"
?2019.4.11 누피랑 어린이대공원??전부터 진짜 엄청엄청 먹어보고 싶었던 #한지민떡볶이 #신토불이떡볶이 #황순애떡볶이#떡볶이맛집 #서울3대떡볶이?황순애 신토불이 떡볶이를 드디어 먹으러 갔당!!아차산역 1번출구에서 골목으로 가면 바로 있기 때문에 찾기도 쉽고, 어린이대공원 후문 앞이기 때문에 포장해서 어린이대공원에서 먹기도 좋다
"
351,"
#신토불이떡볶이메뉴
"
352,"
?딱 빨개보이는게 진짜 맛있어보였당!동생은 떡볶이를 별로 안 좋아해서 1인분이랑 핫도그 하나 포장해서 먹었는데
"
353,"
떡이 살짝 굵은편인데 쌀떡인지 진짜 쫄깃쫄깃하고 달짝지근하면서 맛있게 매콤했다!!구피의 인생 떡볶이 등극!!ㅋㅋㅋㅋ?1위는 신토불이 떡볶이2위는 석관동 떡볶이(?) 롯데월드에서 너무 맛있게 먹어서ㅋㅋㅋ3위는 신전!
"
354,"
핫도그도 직접 만드시던데 달달해서 떡볶이 소스랑 먹으니까 딱이다!!핫도그랑 같이 먹는게 신의 한수인듯근데 여기는 떡 자체가 엄청 쫄깃해서 맛있당
"
355,"
??누피는 맘스터치 냠냠
"
356,"
??가는길에 베라에서 엄마는외계인, 러브미 콘으로 하나씩 들고 어린이대공원 입장!
"
357,"
?꽃놀이에 맞춰서 네일도 해주고ㅋㅋㅋㅋ
"
358,"
?푸디 달달한봄4번 필터가 딱 핑크핑크하당?놀이기구도 타고싶었지만 며칠뒤에 롯데월드 갈거라 패스ㅋㅋㅋㅋ
"
359,"
??벚꽃이랑 사진도 좀 찍고
"
360,"
사진사 눕 수고많아쪄??
"
361,"
??구누피 맛집인 #건대맛집 #로니로티?※브레이크타임: 3시반 ~ 4시반인기가 많은 곳이니 브레이크타임 끝날때 가시는걸 추천드려요!이날은 목요일이라 그런지 네시반에 갔는데 보니까 다섯시반까지도 웨이팅 없긴하더라구요!?전에 몇번 포스팅을 했었어서 메뉴판은 따로 안찍고 자주 먹던 메뉴인?게살딥쉬림프스파게티, 고르곤졸라피자, 샐러드, 청포도에이드 먹었어요!
"
362,"
치즈에 진짜 피자 장난아님ㅋㅋㅋㅋㅋ이상하게 배가 너무너무 불러서 피자는 한쪽씩만 먹고 포장ㅠ.ㅠ집에와서 다 먹었는데 존맛ㅋㅋㅋㅋ
"
363,"
두명이서 3만원대로 굉장히 배부르게 먹을수있당ㅋㅋㅋ 남은 음식은 무료로 포장해주시니 참고하세용에이드는 탄산으로 리필 가능해요!
"
364,"
??배 두드리면서 나온 누피는 사격 팡팡이날 누피 최고점수 경신!2000점 넘어서 호루라기 받아왔당ㅋㅋㅋㅋ
"
365,"
??맛집 포스팅을 가장한 구누피 일기 끝!!
"
366,서울거리예술창작센터 건대
367,"






ㅡ더 즐겁고 다 행복한












물을 머금고싹 트는 거리예술












#서울거리예술창작센터?#2018?#공간사업?#미리보기


































따뜻한?봄바람도?즐기고?싶은?요즘. 지난?춘분(春分)에?서울시?광진구?아차산로(광장동)에?위치한 서울거리예술창작센터에?다녀왔습니다.

























?물 대신 예술 들어갑니다!












2015년?4월?24일(금)에?개관한?서울거리예술창작센터는?지난?1976년부터?서울시의?원수(沅水)?정수장?역할을?해온?구의취수장을?리모델링해?만든?공간입니다.?2011년?강북취수장?신설로?인해?폐쇄된?구의취수장의?활용가능성,?특히?‘거리예술’이라는?방향성이?설정된?2012년?이후,?3년?동안?창작센터의?방향과?역할에?대한?다양한?연구와?논의가?이루어졌습니다.?이후?2013년?6월과?9월,?두?차례에?걸쳐?공간?활용을?실험하는?‘구의취수장?오픈스튜디오’를?진행하였으며,?2년여의?리모델링을?거쳐?시민들에게?공개되었습니다.?특히?올해는?관사를?리모델링해,?추후?예술가들의?레지던시로?사용할?계획이라고?합니다.  이러한?역사를?가진?서울거리예술창작센터는?거리에서?펼쳐지는?다양한?작품을?개발하며,?거리낌?없이?시민과?만날?예술가를?키워냅니다.?거리예술·서커스?분야의?제작·연습·교육·배급이?모두?이루어지는?국내?최초의?‘거리예술·서커스?베이스캠프’를?살펴볼까요?















서울거리예술창작센터 소개















서울거리예술창작센터 지도

























??작품이 관객과 만나기이전을 고민하다












사실?‘서울거리예술창작센터’라는?이름과?이곳에서?어떤?사업을?하고?있는?지?익숙하지?않을?수도?있습니다.?그렇지만?우리는?이미?서울?도심?곳곳에서?서울거리예술창작센터에서?지원하고?있는?다양한?거리예술·서커스?작품을?만났을?지도?모릅니다.?예를?들면,?지난?10월?추석?서울?광화문·시청?일대에서?진행된?‘서울거리예술축제(구?하이서울페스티벌)’,?코엑스,?서울숲,?DDP?등에서?열린?‘거리예술시즌제?[봄·가을]’?말입니다.?하지만?이러한?축제의?장에서?거리예술·서커스?작품을?만나기?위해서는?지난(至難)한?과정이?필요하다고?서울거리예술창작센터?조동희?팀장은?이야기합니다.















2018년 서울거리예술창작센터 사업설명회에서 설명하고 있는 조동희 팀장












거리예술과?서커스는?다른?예술장르와?달리? 대학?교육과정이?전혀?없습니다.?  서울거리예술창작센터에가?거리예술과?서커스를?지원하는?이유는? (이러한?과정이)?‘없어서’입니다.?  거리예술과?서커스가?활성화?되려면? 새로운,?창의적인?예술가를?배출해야?하고,? 그?분들이?이?분야로?들어올?수?있는?통로를?많이?만들어야?합니다.? 서울거리예술창작센터가?해야?할?역할이?많죠.?  예술가가?예술가로서?양성되어야?하고,? 그?예술가가?작품을?만들어야?하고,? 그리고?그?작품이?결국?축제로?가고…….?  하지만?그?전(前)?단계에?대한?투자가?아무데도?없습니다.? 그?모든?단계를?저희가?혼자?하고?있어요.? 복잡하고?많아?보이기도?하지만,?이게?다?필요한?과정들입니다.  -?서울거리예술창작센터?조동희?팀장















구분


사업명


내용




창작지원


제작지원


거리예술·서커스 제작 지원


거리예술·서커스 장르 육성을 위해, 도심공간에서 공연 가능한 작품 제작 지원




리서치지원


창작 리서치 지원


특정한 작품 제작을 위해 사전 창작 준비과정이 필요한 예술가 (단체) 지원




교육사업


전문인력양성교육


거리예술 신진인력 양성‘NEXT’


해당분야 국내 신진예술가를 대상으로 국내·외 우수한 교육 프로그램(전문강사 초청 워크숍, 해외축제 및 기관탐방 등)을 제공할 뿐 아니라 개별 혹은 공동 프로젝트 창작과 발표를 지원하여 전문인력으로 양성




서커스 신진인력 양성‘Pumping Up’




기예워크숍‘Jumping Up’


국내·외 서커스 전문 강사를 초청해 연극, 무용, 비보이, 전통연희 등 서커스 움직임이 가능한 예술가를 대상으로 다양한 서커스 기예 및 이론 역량강화 교육 프로그램 진행




예술교육 강사 워크숍


국내·외 서커스 예술교육 전문가 초청을 통해 국내 서커스 예술교육분야 역량 강화 및 서커스를 활용한 예술교육 프로그램 모델 개발 워크숍 진행




시민예술교육


서커스 예술놀이터


‘생활 속 서커스’를 주제로 기예와 놀이를 아우르는 프로그램을 통해 서커스 장르에 대한 시민들과의 공감을 확대하고자 진행하는 시민 대상 예술교육 체험 프로그램




거리예술 기획 아카데미


국내 거리예술·서커스 분야 주제에 관한 리서치(연구) 및 프로젝트 지원




배급 및 유통


서커스 페스티벌


2018.05.12.(토)~05.13.(일) @문화비축기지




시민문화향유 기회 확대 및 국내 서커스 인지도 제고를 위한 서커스 공연 및 다양한 참여·체험형 프로그램 진행




시즌제


○ 봄시즌: 5월 중순(5/18)~6월 말(6/24) 평일/주말 (총 6주) @서울로7017, DDP, 서울숲공원, 한강(여의도)○ 가을시즌: 9월 한 달 평일/주말 (총 4주)




봄과 가을, 평일 혹은 주말마다 서울 도심·공원 등 일상공간에서 거리예술 작품발표




이동형 전시


국내 축제 등 찾아가는 이동형 전시 형태 운영을 통한 거리예술의 이해도 향상




교류 및 네트워크


아시아 컨템포러리 서커스 네트워크


아시아의 컨템포러리 서커스 활동영역 확장 및 교류를 위한 네트워크 구축 및 운영




가을?오픈?스튜디오?
‘싹?브리핑’
(SSAC?Briefing)


서울거리예술창작센터에서 지원·제작한 창작결과물 발표를 통한 거리예술·서커스의 저변확대 및 네트워킹 도모
















▲?서울거리예술창작센터 사업 정리표.?지원 내용·절차 등 자세한 정보는 서울거리예술창작센터 누리집?참조.















서울거리창작센터 제1취수장 입구 계단















서울거리예술축제 등에서 볼 수 있는 이동형 전시 컨테이너 박스












개관?이후?서울거리예술창작센터는?<①?창작지원?②?교육?사업?③?배급?및?유통?④?교류?및?네트워크?⑤?연구?및?관리?사업>을?진행해?왔습니다.?특히?올해는?서울거리예술창작센터가?개관한?지?3년이?되는?해이자?서커스가?탄생한?지?250주년1)이?되는?해로,?이를?기념해?2018년을?국내?서커스?발전의?원년으로?선포하는?‘서커스?페스티벌’을?개최한다고?합니다.












1)?서커스는?원형(circle)의?라틴어?키르쿠스(circus)에서?유래된?단어로?한?장소이자?공연이라는?뜻을?지니고?있으며,?1768년?런던에서?전역?군인인?필립?애슬리(Philip?Astley)가?제창하여?만들어졌다.?(파스칼?자곱(Pascal?Jacob)의?<서커스와?극단들(Cirque?et?Compagnie)>에서?발췌)?















서커스 페스티벌(Circus Festival in Seoul)




기간


2018년 5월 12일(토) ~ 5월 13일(일)




장소


마포 문화비축기지 (⑥ 월드컵경기장역)




주요 프로그램


○ 국내·외 서커스 작품 공연 | 해외 2~3편, 국내 8~10편○ 기획 프로그램 | 아시아 서커스 네트워크 회의(Asian Network for Circus Arts), 서커스 Pumping Up 오디션, 학술행사 ○ 부대 프로그램 | 나도 서커스타(서커스 경연대회), 서커스 빌리지(서커스 예술놀이터, 서커스 시네마, 푸드 트럭) 등





























???다양한?방면으로시민들에게?다가간?서커스












서울거리예술창작센터는?국내?저변이?미약한?서커스?장르를?자생적인?창작?환경?조성에?기여하도록?하고?시민들의?일상?속?공유?예술로서?서커스의?가치를?재조명하고자?지난?3년?간?창작?지원(서커스?제작·리서치?지원),?전문?인력?양성(서커스?신진인력?양성?‘Pumping?Up’(舊?NEXT),?서커스?예술가?기예워크숍?‘Jumping?Up’,?예술교육?강사?워크숍),?시민예술교육(서커스?예술놀이터)?등?다양한?프로그램을?진행해왔습니다.?뿐만?아니라?이러한?프로그램들을?통해?양성된?전문?인력과?작품은?<봄·가을?시즌제>,?<서울거리예술축제>?등?생활?속?공간에서?시민들과?만나왔습니다.이렇게?축적된?콘텐츠를?바탕으로?시민들에게?더?다가가려는?이번?‘서커스?페스티벌’에서는?컨템포러리?서커스?작품이?중점적으로?소개됩니다.?특히?‘아시아?컨템포러리?서커스?네트워크?회의’를?통해,?이미?유럽과?북미에?활발하게?조직화되어?있는?서커스?국제교류?네트워크를?아시아로?확대하여?아시아권에서의?인력?및?프로그램?교환,?사업·정보?교류?등?다양한?방식의?국제교류?가능성을?모색한다고?하니?기대가?됩니다.?이미?작년에?한국을?포함하여?일본(세토우치?서커스?팩토리,?페스티벌?도쿄),?대만(퓨처?서커스랩),?캄보디아(Phare?서커스)와의?사전?미팅이?진행되었고,?향후?중국,?홍콩,?인도네시아,?베트남?내?서커스?단체와의?협력?가능성도?고려하고?있다고?합니다.




































2017 서울거리예술축제 <SPIDERS>(서울거리예술창작센터 2016 서커스 창작지원 선정작)


























????우리는?함께?한다,고로?신뢰한다












한편?이외에도?우리는?서커스의?다양한?가능성에?대해?주목할?필요가?있습니다.?그?중에서도?눈에?띄는?것은?서커스의?교육적?효과에?관한?것입니다.












 서커스라는?기예가?어린이들에게?교육적으로?굉장히?좋습니다.? 요즘은?체육을?거의?안?하는데,?(서커스를?통해)?예술과?함께?체육을?할?수?있습니다.?  또한?서커스는?공동체?교육이에요.?  예를?들어,?한?사람이?밑에?있고,? 그?사람?위로?다른?사람이?올라탑니다.?  밑에?있는?친구는?자기가?안전하게?받치지?않으면,? 위에?올라탄?친구가?위험해져요.?  그리고?위에?있는?친구는?자신이?뭔가를?할?때,? 밑에?있는?친구를?못?믿으면?안?되죠.?  이는?혼자?하는?게?아니죠.? 그런?상호작용이?교육과정?내에?있습니다.?  나와?타인?사이의?관계의?문제가? 이러한?교육과정?안에서?풀어지는?것이죠.  -?서울거리예술창작센터?조동희?팀장












더불어?서커스가?움직임·기예·스토리·음악?등을?종합적으로?다루는?‘융복합?장르’라는?점과?극장·천막·야외에서?이뤄지는?‘공공성이?강한?예술’이라는?점도?교육적인?면과?맞닿아?있을?것입니다.


























2017?서커스?예술놀이터












하지만?서커스가?이러한?교육적?가치가?있음에도,?해외에서?초등학생을?대상으로?한?서커스?예술교육?학교가?2,000여개가?있는?것과?달리,?아직까지?한국에서는?서커스?학교(교육기관)이?없습니다.?창작센터가?여러?노력을?기울이고?있고?있지만,?엄밀히?이야기하자면?서커스?학교?프로그램의?일부만을?담당하고?있는?것입니다.?그러므로?앞으로?서커스?교육과?관련해?좋은?프로그램?개발뿐만?아니라?전문적인?강사,?위험?요소를?고려한?공간(하드웨어,?인프라)에?대한?함께?논의가?이루어져야?할?것으로?보입니다.?사실?실제로?서커스?학교가?별도로?생겨?안전한?공간과?체계적인?과정?속에서?서커스를?내실?있게?배우는?것이?제일?좋은?안이겠지요.















서울거리예술창작센터는 광나루역에 있다

























서울거리예술창작센터 로고의 조상님들


























?????올해도?물을?머금고잘?예술을?싹?틔워봅시다!












24절기의?네?번째?절기로?낮과?밤의?길이가?같아진다는?춘분(春分).?이?춘분의?날씨에?따라?한?해?농사를?점치는?풍습이?있어,?비가?오면?아픈?사람이?드물고,?해가?보이지?않아?어두우면?농사에?도움이?된다는?속설이?있다고?하네요.?취재?날이었던?올해?춘분에는?비도?내리고,?눈도?내리고,?어두컴컴한,?그야말로?집?안에만?있고?싶은?날이었습니다.?그래서일까요,?괜스레?이번?해의?서울거리예술창작센터가?틔울?싹들이?잘?자라?풍년이?될지도?모른다는?기대가?생깁니다.?더?나아가?우리가?가꾸고?있는?개개인만의?작은?텃밭들에서?좋은?소식이?있기를,?또?우리들?마음속에도?예술?농사가?잘?지어질?수?있기를?슬그머니?바라봅니다.?그럼,?올?한해도?잘?부탁드립니다!














[시민기자단] 행사 : 2018 서울거리예술창작센터 미리 보기











































"
368,유니버설아트센터 건대
369,"
?????오랜만에 조카들이 보고 싶어서조카들과 나들이를 가기로 했다.??주일 예배를 마치고 바로 방배동으로 이동조카들을 픽업해서 유니버설아트센터로 향했다.??아주버님, 형님 오랜만에오붓한 시간 보내고 오세요~ㅎㅎ????
"
370,"
??올해 6살이 된 라일이는 헬로 카봇 영화가 보고 싶다 했지만이제 3살 된 라엘이가 영화는 아직 무리일까 싶어서??어린이 뮤지컬 <핑크퐁과 상어 가족의 겨울 나라>를 선택??서울 어린이대공원 근처에 위치한<유니버설아트센터>에서 2/10까지 한다고 합니다.??***
"
371,"
***??극장 분위기가 굉장히 클래식하다.우리는 1층 왼편에 앉았다.??핑크퐁과 상어 가족 그리고 튼튼쌤이 나오고겨울 나라 요정들과 루돌프도 나온다.??가는 길에 차 안에서 핑크퐁 노래들을 들었는데그때 나온 노래들 거의 나온 거 같다 ㅎㅎ??배우분들의 연기와 동작들이 너무 좋아서아이들뿐만 아니라 우리 부부도몰입해서 보게 되었다.??특히 튼튼쌤의 춤실력 짱??!!??***
"
372,"
***??공연 후반부에출연진들이 객석으로 내려와인사도 하고 사진도 찍는 시간이 있었다.??아이들이 굉장히 즐거워해서덩달아 나도 기분이 좋아졌다.??현재 이곳은 말 그대로축제 분위기입니다.????????***
"
373,"
***??커튼콜을 하며 사진을 찍으라고 포즈를 취해 주신다.??하나 둘! 찰칵!하나 둘! 찰칵!??다들 퇴장하는데 나도 모르게손을 흔들며 바이바이 하고 있었다.??핑크퐁 안녕~~~상어가족 안녕~~튼튼쌤 안녕~~??
"
374,"
??비도 오는데 어디서 놀까 하다가예전부터 가보고 싶었던커먼그라운드로 향했다.??***
"
375,"
***??이렇게 파란색 컨테이너 박스로 구성된쇼핑몰인데 굉장히 힙한 느낌이었다.??아이 둘에 유모차까지 끌고 다니려니조금 불편하긴 했지만재밌었다.??진정한 육아 체험 중ㅎㅎ??***
"
376,"
***??밥을 먹고 돌아다니다 보니서점이 보여서 들어가 보았다.??남편과 라엘이는 유모차 때문에 못 들어가고라일이와 둘이 들어가 구경했다.??복층으로 구성되어 있었는데 아래층은 서점이고위층은 카페였다.??동화책이 몇 권 있길래라일이한테 두 권 정도 읽어주고 나왔다.??구경하다 보니 아래층에 문구점이 있어서 작은 미니보드게임 두 개도선물로 사 줬다.??설날 아침에 잘 갖고 노는 거 보니 흐뭇했다. ㅎㅎㅎ??***
"
377,"
***??비 오는 분위기가 너무 좋아서조카들 사진을 계속 찍었다.아구아구 이뽀라 ㅜㅜ??""짜근엄마 짜근엄마""하면서 졸졸졸졸 따라다니는데정말 정말 사랑스럽다.??
"
378,"
?마지막 코스는키즈카페입니다.??내 위치에서 가장 가까운 키즈카페를 찍어보니 나온  ??성수동 키즈카페 <쁘띠몽드>??설 연휴 직전이라 혹시 문 닫았나 싶어서전화드렸더니 6시까지 오면 된다고 했다.??***
"
379,"
***??보문 빌딩 3층에 위치했다.엘리베이터에서 내리면 바로 신발장이 있다.??슬리퍼로 갈아 신고카페 안으로 들어갔다.??***
"
380,"
***??키즈카페는 처음 와 봤는데아이는 2시간에(기본) 12,000원30분 추가에 3,000원이다.??보호자 입장료 3,000원.어른 2, 아이 2 하면 이미 3만 원.??음료도 시켜야 하는데 음료는 1~2천 원 선이다.??***
"
381,"
***??카페 가운데에 테이블이 놓여 있고 아이들이 놀만한 공간이 여러 섹션으로 나누어져 있다.??편백나무 놀이터에 한번 들어갔는데발바닥 지압 제대로 된다...??너무 아파서 나는 다시 기어 나옴 ㅋㅋ??***
"
382,"
***??설 연휴 직전이라 그런가 카페에 한 3팀 정도밖에 없었다.??그래서 마음 편하게 사진 찍고 놀았다.??***
"
383,"
***??조카들이 트램펄린 타는 거 사진, 영상 찍으면서 구경했다.??스크린에서는 계~속 동요랑 신나는 가요가 나왔다.애들 정말 신나게 잘 뛰어 논다. ㅋㅋ??***
"
384,"
***??공으로 화면을 맞추면 음식이 깨진다.??내가 재밌어서 던진 건 아니고조카가 좋아하길래 던져줬다..^^??***
"
385,"
***??오늘 하루 무리했는지키즈 카페 도착하니까 몸이 천근만근.??요즘 정말 조금만 움직여도 피곤하다.??아이들은 남편에게 맡겨두고테이블에 앉아서 말씀 좀 읽다가 잠들었다.세상 꿀잠을 여기서 잤네..ㅎㅎ??
"
386,"
?두 시간 동안 실컷 놀고 다시 형님 네로 갔다.??두 분은 오늘 코엑스에서 오랜만에 데이트를 하셨다고 ㅎㅎ??우리도 오랜만에 조카들과 시간을 보내서정말 즐거웠다.다만, 몸이 조금 피곤할 뿐....??이 세상 모든 부모님 존경합니다 ㅜㅜ????? ??
"
387,예스24라이브홀 건대
